NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
P002,POSISI Y TERHADAP CENTER,Z Value_P 002,-73.3,73.3,0.2,-0.2,
S001,POSISI X TERHADAP CENTER,Z Value_S 002,-15.5,15.5,0.2,-0.2,
S001,POSISI Y TERHADAP L100,X Value_S 001,-19.4,19.4,0.2,-0.2,
S002,POSISI X TERHADAP CENTER,Z Value_S 001,-29.3,29.3,0.2,-0.2,
S002,POSISI Y TERHADAP L100,X Value_S 002,19.4,19.4,0.2,-0.2,
P102,POSISI X TERHADAP CENTER,Z Value_P 102,-57.5,57.5,0.2,-0.2,
P102,POSISI Y TERHADAP CENTER,X Value_P 102,-66.5,66.5,0.2,-0.2,
P103,POSISI X TERHADAP CENTER,Z Value_P 103,34.5,34.5,0.2,-0.2,
P103,POSISI Y TERHADAP CENTER,X Value_P 103,-71.5,71.5,0.2,-0.2,
P104,POSISI X TERHADAP CENTER,Z Value_P 104,41.2,41.2,0.2,-0.2,
P104,POSISI Y TERHADAP CENTER,X Value_P 104,0.0,0.0,0.2,-0.2,
P105,POSISI X TERHADAP CENTER,Z Value_P 105,32.5,32.5,0.2,-0.2,
P105,POSISI Y TERHADAP CENTER,X Value_P 105,69.8,69.8,0.2,-0.2,
P106,POSISI X TERHADAP CENTER,Z Value_P 106,-59.0,59.0,0.2,-0.2,
P106,POSISI Y TERHADAP CENTER,X Value_P 106,63.0,63.0,0.2,-0.2,
P101,SUDUT,Angle 40 P101,40.0,40.0,1.5,-1.5,
P101,POSISI X TERHADAP CENTER,Z Value_Intersection OLI,-33.4,33.4,0.2,-0.2,
P101,POSISI Y TERHADAP CENTER,X Value_Intersection OLI,62.1,62.1,0.2,-0.2,
N802,POSISI X TERHADAP CENTER,Z Value_N 802,24.5,24.5,0.2,-0.2,
N802,POSISI Y TERHADAP M000,Y Value_N 802,20.0,20.0,0.2,-0.2,
N803,POSISI X TERHADAP N802,Z Value_N 803,-46.5,46.5,0.2,-0.2,
N803,POSISI Y TERHADAP N802,Y Value_N 803,28.0,28.0,0.2,-0.2,
N701,POSISI X DIA 28 TERHADAP CENTER,Z Value_N 701,0.0,0.0,0.1,-0.1,
N701,POSISI Y DIA 28 TERHADAP M000,Y Value_30.7 N701,30.7,30.7,0.15,-0.15,
N702,P.D,PD 53 N703-N702,53.0,53.0,0.2,-0.2,
N702,SUDUT,Angle One_SUDUT EXH 35,-35.0,35.0,1.5,-1.5,
N703,P.D,PD 53 N703-N702,53.0,53.0,0.2,-0.2,
N703,SUDUT,Angle One_SUDUT EXH 35,-35.0,35.0,1.5,-1.5,
M201,DEPTH BORING,Y Value_REC Point M201,42.5,42.5,0.15,-0.15,
M203,DEPTH BORING,Y Value_ M 203,42.5,42.5,0.15,-0.15,
M202,DEPTH BORING,Y Value_M 202,42.0,42.0,0.2,0.2,
M204,DEPTH BORING,Y Value_ M 204,42.0,42.0,0.2,0.2,
L104,POSISI Y TERHADAP CENTER,Z Value_JARAK 7 NO 61,-7.0,7.0,0.1,-0.1,
L105,POSISI Y TERHADAP CENTER,Z Value_JARAK 20 NO 60,-20.5,20.5,0.1,-0.1,
S051,POSISI X,X Value_S 051,38.7,38.7,0.2,-0.2,
S051,POSISI Y,Z Value_S 051,32.2,32.2,0.2,-0.2,
S052,POSISI X,X Value_S 052,36.0,36.0,0.2,-0.2,
S052,POSISI Y,Z Value_S 052,-32.2,32.2,0.2,-0.2,
N800,POSISI X (CA) TERHADAP CENTER,Z Value_JARAK N800,0.0,0.0,0.4,-0.4,
N800,POSISI Y (CA) TERHADAP M000,Y Value_JARAK NO.32,34.0,34.0,0.5,-0.5,
N701,POSISI X PORT CASTING TERHADAP CENTER,Z Value_N 701,0.0,0.0,0.4,-0.4,
N701,POSISI Y PORT CASTING TERHADAP M000,Y Value_30.7 N701,30.7,30.7,0.4,-0.4,
N800,DISTANCE,X Value_Plane N 800,59.5,59.5,0.5,-0.5,
